Education_Level,Line_Number,Employed,Unemployed,Industry,Gender,Date_Inserted,dense_rank,Max_Salary_USD
Associate's Degree,828,6555000,443000,Hospitality,Male,12/1/2009,150,90000
Master's Degree,1364,5161526,348997,Manufacturing,Female,4/1/1997,151,150000
College,1415,8880000,601700,Construction,Male,7/1/1999,152,100000
Master's Degree,1414,8860200,603900,Education,Female,6/1/1999,153,150000
High School,1361,5128562,349587,Construction,Male,1/1/1997,154,70000
High School,1494,88000,6000,Retail,Female,7/1/2002,155,70000
Bachelor's Degree,1272,17080400,1166000,Education,Male,3/1/2020,156,120000
College,1248,17665500,1206100,Manufacturing,Male,9/1/2019,157,100000
College,1362,5135402,350770,Retail Trade,Female,2/1/1997,158,100000
Master's Degree,248,14460000,990000,Healthcare,Male,11/1/1997,159,150000
Master's Degree,855,6524000,447000,Energy,Female,6/1/2010,160,150000
High School Diploma,807,6524000,447000,Hospitality,Female,6/1/2009,160,70000
College,792,6524000,447000,"Trade, Transportation, Util.",Male,3/1/2009,160,100000
Bachelor's Degree,644,6524000,447000,Finance,Male,2/1/2006,160,120000
College,1339,6524000,447000,Education,Male,2/1/1996,160,100000
Master's Degree,826,6524000,447000,Hospitality,Male,11/1/2009,160,150000
Bachelor's Degree,835,6524000,447000,Hospitality,Female,1/1/2010,160,120000
Bachelor's Degree,1413,8840400,605900,Financial Services,Male,5/1/1999,161,120000
High School,1244,17630700,1209200,Manufacturing,Male,8/1/2019,162,70000
High School,1359,8674000,595000,Retail,Male,12/1/1996,163,70000
Bachelor's Degree,1324,2910000,200000,Construction,Female,12/1/1995,164,120000
Master's Degree,260,14615000,1005000,Healthcare,Male,2/1/1998,165,150000
Master's Degree,854,3878000,267000,Professional and Business S.,Male,6/1/2010,166,150000
High School Diploma,806,3878000,267000,Finance,Male,6/1/2009,166,70000
High School Diploma,791,3878000,267000,Hospitality,Female,2/1/2009,166,70000
High School,825,3878000,267000,Finance,Female,11/1/2009,166,70000
Bachelor's Degree,834,3878000,267000,Hospitality,Male,1/1/2010,166,120000
Associate's Degree,643,3878000,267000,Energy,Female,1/1/2006,166,90000
Bachelor's Degree,1338,3878000,267000,Information,Female,1/1/1996,166,120000
Bachelor's Degree,1189,11848900,815900,Retail,Female,6/1/2017,167,120000
College,1412,8821400,607600,Healthcare,Female,4/1/1999,168,100000
Associate's Degree,1240,17596500,1212900,Technology,Male,7/1/2019,169,90000
Bachelor's Degree,1495,87000,6000,Healthcare,Male,8/1/2002,170,120000
College,1323,2900000,200000,Financial Services,Male,11/1/1995,170,100000
Bachelor's Degree,315,79500,5500,Energy,Male,3/1/1999,171,120000
High School Diploma,357,79500,5500,Finance,Female,2/1/2000,171,70000
High School,1322,2890000,200000,Healthcare,Female,10/1/1995,172,70000
High School,1411,8802600,609400,Retail,Male,3/1/1999,173,70000
Bachelor's Degree,1410,8785300,608800,Information,Female,2/1/1999,174,120000
Graduate,1512,384023,26615,Manufacturing,Female,1/1/2003,175,100000
Bachelor's Degree,1236,17563200,1218800,Technology,Male,6/1/2019,176,120000
Bachelor's Degree,1321,2880000,200000,Education,Male,9/1/1995,177,120000
Master's Degree,1010,112200,7800,Hospitality,Male,9/1/2013,178,150000
Master's Degree,1151,112200,7800,Energy,Female,8/1/2016,178,150000
Bachelor's Degree,959,112200,7800,Energy,Female,8/1/2012,178,120000
Master's Degree,1191,112200,7800,Manufacturing,Female,6/1/2017,178,150000
High School Diploma,373,112200,7800,Retail,Female,6/1/2000,178,70000
High School Diploma,135,112200,7800,Retail,Female,6/1/1995,178,70000
Master's Degree,1283,112200,7800,Manufacturing,Female,5/1/2020,178,150000
Master's Degree,1039,112200,7800,Agriculture,Female,4/1/2014,178,150000
Associate's Degree,703,112200,7800,Technology,Female,4/1/2007,178,90000
Master's Degree,603,112200,7800,Finance,Female,3/1/2005,178,150000
Associate's Degree,779,112200,7800,Energy,Female,11/1/2008,178,90000
Master's Degree,539,112200,7800,"Trade, Transportation, Util.",Female,11/1/2003,178,150000
High School Diploma,1254,112200,7800,Education,Male,10/1/2019,178,70000
College,1320,2870000,200000,Retail,Female,8/1/1995,179,100000
Master's Degree,1496,86000,6000,Manufacturing,Female,9/1/2002,180,150000
High School,1337,6489000,453000,Manufacturing,Male,1/1/1996,181,70000
Bachelor's Degree,1357,8661000,605000,Financial Services,Male,11/1/1996,182,120000
High School,1319,2860000,200000,Manufacturing,Male,7/1/1995,183,70000
College,1232,17531300,1226100,Technology,Male,5/1/2019,184,100000
Bachelor's Degree,1318,2850000,200000,Construction,Female,6/1/1995,185,120000
Associate's Degree,1228,17493200,1231900,Technology,Male,4/1/2019,186,90000
College,1317,2840000,200000,Financial Services,Male,5/1/1995,187,100000
Bachelor's Degree,1360,4165000,294000,Healthcare,Female,12/1/1996,188,120000
High School,1497,85000,6000,Technology,Male,10/1/2002,188,70000
College,1409,8757500,618300,Manufacturing,Male,1/1/1999,189,100000
High School,1316,2830000,200000,Healthcare,Female,4/1/1995,190,70000
Bachelor's Degree,345,72840,5160,Finance,Female,11/1/1999,191,120000
Master's Degree,1224,17450500,1237500,Energy,Male,3/1/2019,192,150000
Bachelor's Degree,1315,2820000,200000,Education,Male,3/1/1995,193,120000
High School Diploma,1314,2810000,200000,Retail,Female,2/1/1995,194,70000
College,1513,386013,27496,Manufacturing,Male,2/1/2003,195,100000
High School,1355,8645000,616000,Healthcare,Male,10/1/1996,196,70000
Bachelor's Degree,1498,84000,6000,Finance,Female,11/1/2002,197,120000
Bachelor's Degree,1313,2800000,200000,Manufacturing,Male,1/1/1995,197,120000
Bachelor's Degree,245,6472000,463000,Retail,Male,10/1/1997,198,120000
Associate's Degree,1220,17394000,1247600,Manufacturing,Male,2/1/2019,199,90000
College,1515,393278,28217,Manufacturing,Male,4/1/2003,200,100000
Bachelor's Degree,1245,12609100,906200,Technology,Female,8/1/2019,201,120000
Bachelor's Degree,276,8255000,595000,Wholesale Trade,Male,6/1/1998,202,120000
High School,1185,11778600,850500,Retail,Female,5/1/2017,203,70000
Master's Degree,1499,83000,6000,Retail,Male,12/1/2002,204,150000
Bachelor's Degree,1481,3752513,271584,Manufacturing,Male,6/1/2001,205,120000
High School,1482,3752561,271675,Healthcare,Female,7/1/2001,206,70000
Master's Degree,1483,3751125,271975,Education,Male,8/1/2001,207,150000
Bachelor's Degree,233,6420000,466000,Retail,Male,7/1/1997,208,120000
Bachelor's Degree,218,6420000,466000,Education,Female,3/1/1997,208,120000
College,1484,3748776,272147,Finance,Female,9/1/2001,209,100000
High School,1216,17378000,1262300,Manufacturing,Male,1/1/2019,210,70000
College,1358,4156000,302000,Manufacturing,Female,11/1/1996,211,100000
Bachelor's Degree,1241,12563600,913200,Retail,Female,7/1/2019,212,120000
Master's Degree,1195,11682000,849900,Education,Female,7/1/2017,213,150000
Master's Degree,1299,11682000,849900,Agriculture,Female,11/1/2020,213,150000
Master's Degree,1211,11682000,849900,Retail,Female,11/1/2017,213,150000
Bachelor's Degree,1169,11682000,849900,Technology,Female,1/1/2017,213,120000
Master's Degree,1171,11682000,849900,Education,Female,1/1/2017,213,150000
Master's Degree,1173,11705900,852200,Retail,Female,2/1/2017,214,150000
College,1487,3744822,272753,Manufacturing,Male,12/1/2001,215,100000
Bachelor's Degree,1177,11716900,853700,Education,Female,3/1/2017,216,120000
Bachelor's Degree,1485,3745253,272987,Technology,Male,10/1/2001,217,120000
High School,1486,3744076,272945,Retail,Female,11/1/2001,218,70000
High School Diploma,1181,11734900,858400,Manufacturing,Female,4/1/2017,219,70000
Associate's Degree,215,8673000,636000,Retail,Female,2/1/1997,220,90000
Bachelor's Degree,244,8673000,636000,Healthcare,Female,10/1/1997,220,120000
College,1480,3748662,274917,Retail,Female,5/1/2001,221,100000
College,1514,390099,28622,Manufacturing,Female,3/1/2003,222,100000
High School Diploma,1237,12516200,922100,Retail,Female,6/1/2019,223,70000
College,1176,15032200,1110600,Hospitality,Male,3/1/2017,224,100000
High School,1172,15024600,1112100,Retail,Male,2/1/2017,225,70000
College,1353,8610000,638000,Manufacturing,Male,9/1/1996,226,100000
College,1168,15006700,1112500,Manufacturing,Male,1/1/2017,227,100000
Bachelor's Degree,1184,15051600,1116400,Healthcare,Male,5/1/2017,228,120000
Master's Degree,284,606000,45000,Healthcare,Male,8/1/1998,229,150000
Master's Degree,1479,3745658,278185,Technology,Male,4/1/2001,230,150000
Associate's Degree,1188,15068000,1119900,Technology,Male,6/1/2017,231,90000
Bachelor's Degree,728,209400,15600,Technology,Male,11/1/2007,232,120000
College,1356,4147000,309000,Information Services,Female,10/1/1996,233,100000
High School,1478,3740556,278840,Healthcare,Female,3/1/2001,234,70000
Bachelor's Degree,1107,3244100,242800,Manufacturing,Female,9/1/2015,235,120000
Master's Degree,1275,3244100,242800,Professional and Business S.,Female,3/1/2020,235,150000
Master's Degree,1311,3244100,242800,Professional and Business S.,Female,12/1/2020,235,150000
Master's Degree,1336,3244100,242800,Healthcare,Female,12/1/1995,235,150000
Master's Degree,1163,3244100,242800,Education,Female,11/1/2016,235,150000
Master's Degree,1233,12469200,934100,Retail,Female,5/1/2019,236,150000
High School Diploma,288,440000,33000,Education,Male,9/1/1998,237,70000
College,1516,394256,29570,Manufacturing,Female,5/1/2003,238,100000
